Angle theta,Perpendicular,Parallel,Unpolarised
26.8,12370.29999,13396.15157,12883.22578
26.9,10056.96481,11629.77365,10843.36923
27,7950.940518,10054.76375,9002.852136
27.1,6212.718363,8792.460338,7502.589351
27.2,4973.436868,7937.596088,6455.516478
27.3,4324.480827,7550.636203,5937.558515
27.4,4310.18099,7652.966476,5981.573733
27.5,4924.217022,8225.332621,6574.774822
27.6,6110.040836,9209.662313,7659.851574
27.7,7765.321708,10514.11855,9139.72013
27.8,9750.093259,12020.96115,10885.5272
27.9,11897.98094,13596.55542,12747.26818
28,14029.63184,15102.68428,14566.15806
28.1,15967.27843,16408.20791,16187.74317
28.2,17549.26091,17400.08379,17474.67235
28.3,18643.32051,17992.81332,18318.06691
28.4,19157.56067,18135.51422,18646.53744
28.5,19048.15042,17816.02036,18432.08539
28.6,18323.10155,17061.66515,17692.38335
28.7,17041.76828,15936.68925,16489.22876
28.8,15310.0702,14536.50343,14923.28682
28.9,13271.79711,12979.30844,13125.55278
29,11096.68797,11395.80089,11246.24443
29.1,8966.256431,9917.858682,9442.057557
29.2,7058.537976,8667.18616,7862.862068
29.3,5533.039025,7744.900405,6638.969715
29.4,4517.166238,7222.955929,5870.061084
29.5,4095.302572,7138.142594,5616.722583
29.6,4301.483176,7489.165151,5895.324163
29.7,5116.325807,8237.042426,6676.684116
29.8,6468.511469,9308.773511,7888.64249
29.9,8240.721764,10603.9332,9422.327484
30,10279.55355,12003.60426,11141.57891
30.1,12408.58255,13380.85243,12894.71749
30.2,14443.46688,14611.81911,14527.64299
30.3,16207.7945,15586.45765,15897.12608
30.4,17548.30315,16217.97613,16883.13964
30.5,18348.14544,16450.16898,17399.15721
30.6,18537.03294,16262.01103,17399.52199
30.7,18097.35863,15669.13252,16883.24557
30.8,17065.74422,14722.07129,15893.90776
30.9,15529.85818,13501.48332,14515.67075
31,13620.76592,12110.75975,12865.76284
31.1,11501.46977,10666.72401,11084.09689
31.2,9352.636463,9289.246968,9320.941716
31.3,7356.763615,8090.706433,7723.735024
31.4,5682.180346,7166.223241,6424.201793
31.5,4468.297551,6585.528869,5526.91321
31.6,3813.416765,6387.167082,5100.291923
31.7,3766.182787,6575.518355,5170.850571
31.8,4321.442994,7120.880463,5721.161729
31.9,5420.884306,7962.564697,6691.724502
32,6958.392064,9014.699338,7986.545701
32.1,8789.651937,10174.19418,9481.923061
32.2,10745.13477,11330.13303,11037.6339
32.3,12645.2996,12373.74135,12509.52048
32.4,14316.65003,13208.03427,13762.34215
32.5,15607.20165,13756.28793,14681.74479
32.6,16399.97184,13968.59206,15184.28195
32.7,16623.28165,13825.92111,15224.60138
32.8,16256.9488,13341.38986,14799.16933
32.9,15333.82288,12558.61532,13946.2191
33,13936.53658,11547.36694,12741.95176
33.1,12189.78006,10396.92867,11293.35437
33.2,10248.81162,9207.796711,9728.304164
33.3,8285.2576,8082.479396,8183.868498
33.4,6471.498842,7116.237619,6793.868231
33.5,4965.06577,6388.599693,5676.832732
33.6,3894.459758,5956.405299,4925.432528
33.7,3347.683874,5848.986486,4598.33518
33.8,3364.514885,6065.893901,4715.204393
33.9,3933.203277,6577.341914,5255.272596
34,4991.881059,7327.298698,6159.589879
34.1,6434.525713,8238.909162,7336.717438
34.2,8120.912603,9221.731265,8671.321934
34.3,9889.625637,10180.1083,10034.86697
